 program polrad20 version from 10.04.1997

 the file gives born asymmetry, observed asymmetry
 and radiative correstion

 the following switches are active
   polrad strffun integrat polrad_add fits2 exact elect long kin_net 
   targ_c f2nmc_d8 g1asym g2_eq_0 pol_asym 

 leptons are electrons
 target is carbon
 target is longitudinally polarized
 bmom =  10.6
 tmom =   0.0
    pl = 0.00    pn = 0.00   qn = 0.00

 a is in %

      x      w2       q2  a(born)  a(obs)  del(%) 
   0.500     1.8     0.9  -0.000  -0.000   0.000
   0.500     1.9     1.0  -0.000  -0.000   0.000
   0.500     2.1     1.2  -0.000  -0.000   0.000
   0.500     2.4     1.5  -0.000  -0.000   0.000
   0.500     2.6     1.7  -0.000  -0.000   0.000
   0.500     2.9     2.0  -0.000  -0.000   0.000
   0.500     3.9     3.0  -0.000  -0.000   0.000
   0.500     4.9     4.0  -0.000  -0.000   0.000
   0.500     5.9     5.0  -0.000  -0.000   0.000
   0.500     6.8     6.0  -0.000  -0.000   0.000
   0.500     7.3     6.5  -0.000  -0.000   0.000
   0.500     7.8     7.0  -0.000  -0.000   0.000
   0.500     8.3     7.5  -0.000  -0.000   0.000
   0.500     8.8     8.0  -0.000  -0.000   0.000
   0.500     9.1     8.2  -0.000  -0.000   0.000
   0.500     9.3     8.5  -0.000  -0.000   0.000
   0.500     9.6     8.7  -0.000  -0.000   0.000
   0.500     9.8     9.0  -0.000  -0.000   0.000
   0.500     9.9     9.1  -0.000  -0.000   0.000
   0.500    10.0     9.2  -0.000  -0.000   0.000
   0.500    10.1     9.2  -0.000  -0.000   0.000
   0.500    10.2     9.3  -0.000  -0.000   0.000
   0.500    10.3     9.4  -0.000  -0.000   0.000
   0.500    10.4     9.5  -0.000  -0.000   0.000
   0.500    10.5     9.6  -0.000  -0.000   0.000
   0.900     1.2     2.7  -0.000  -0.000   0.000
   0.900     1.2     3.1  -0.000  -0.000   0.000
   0.900     1.3     3.6  -0.000  -0.000   0.000
   0.900     1.5     5.4  -0.000  -0.000   0.000
   0.900     1.7     7.2  -0.000  -0.000   0.000
   0.900     1.9     9.0  -0.000  -0.000   0.000
   0.900     2.1    10.7  -0.000  -0.000   0.000
   0.900     2.2    11.6  -0.000  -0.000   0.000
   0.900     2.3    12.5  -0.000  -0.000   0.000
   0.900     2.4    13.4  -0.000  -0.000   0.000
   0.900     2.5    14.3  -0.000  -0.000   0.000
   0.900     2.5    14.8  -0.000  -0.000   0.000
   0.900     2.6    15.2  -0.000  -0.000   0.000
   0.900     2.6    15.7  -0.000  -0.000   0.000
   0.900     2.7    16.1  -0.000  -0.000   0.000
   0.900     2.7    16.3  -0.000  -0.000   0.000
   0.900     2.7    16.5  -0.000  -0.000   0.000
   0.900     2.7    16.6  -0.000  -0.000   0.000
   0.900     2.8    16.8  -0.000  -0.000   0.000
   0.900     2.8    17.0  -0.000  -0.000   0.000
   0.900     2.8    17.2  -0.000  -0.000   0.000
